 TIME,,,, EXPENSES,,,,,,,,,,,SOCIAL SECURITY,,,,,DRAW,,,,,INVESTMENTS,,WEALTH,,LTC,,Orcas,,,Portland,,
year,yrs,erik,deb,loans, health ,dogs,cars,travel,living,allowance,orcas,portland,LTC,TOTAL,erik,debbie,subtotal,tax,SS,gross,tax,draw,rate,capspend,investment,ROI,invest+RE,real estate,monthly,entrance,VALUE,PRINC,EQUITY,VALUE,PRINC,EQUITY
2026,0,69,64,"$41,052","$21,276","$16,389","$18,000","$36,000","$33,619","$72,000","$23,094","$32,093",$0,"$293,523",$0,$0,$0,$0,$0,"$293,523","$46,964","$340,487",6%,"$53,754","$3,823,105","$286,733","$5,608,922","$1,785,817","$19,500","$2,000,000","$2,000,000","$714,419","$1,285,581","$950,000","$449,764","$500,236"
2027,1,70,65,"$41,052","$22,553","$16,799","$18,450","$36,900","$34,459","$73,080","$23,672","$32,895",$0,"$299,860","$62,575",$0,"$62,575","$8,510","$54,065","$245,795","$39,327","$285,122",5%,"$2,421","$3,769,351","$282,701","$5,709,113","$1,939,762","$19,988","$2,100,000","$2,100,000","$710,456","$1,389,544","$997,500","$447,282","$550,218"
2028,2,71,66,"$41,052","$23,906","$17,219","$18,911","$37,823","$35,321","$74,176","$24,263","$33,718",$0,"$306,389","$64,140",$0,"$64,140","$8,723","$55,417","$250,972","$40,155","$291,127",5%,"$8,608","$3,766,930","$282,520","$5,868,207","$2,101,277","$20,487","$2,205,000","$2,205,000","$706,368","$1,498,632","$1,047,375","$444,730","$602,645"
2029,3,72,67,"$41,052","$25,340","$17,650","$19,384","$38,768","$36,204","$75,289","$24,870","$34,561",$0,"$313,117","$65,743",$0,"$65,743","$8,941","$56,802","$256,315","$41,010","$297,325",5%,"$15,451","$3,758,323","$281,874","$6,029,059","$2,270,737","$20,999","$2,315,250","$2,315,250","$702,150","$1,613,100","$1,099,744","$442,107","$657,636"
2030,4,73,68,"$41,052","$26,860","$18,091","$19,869","$39,737","$37,109","$76,418","$25,492","$35,425",$0,"$320,053","$67,387",$0,"$67,387","$9,165","$58,222","$261,830","$41,893","$303,723",5%,"$23,008","$3,742,872","$280,715","$6,191,406","$2,448,534","$21,524","$2,431,013","$2,431,013","$697,798","$1,733,215","$1,154,731","$439,412","$715,319"
2031,5,74,69,"$41,052","$28,472","$18,543","$20,365","$40,731","$38,037","$77,564","$26,129","$36,310",$0,"$327,204","$69,072",$0,"$69,072","$9,394","$59,678","$267,526","$42,804","$310,330",5%,"$31,340","$3,719,864","$278,990","$6,354,946","$2,635,082","$22,062","$2,552,563","$2,552,563","$693,308","$1,859,255","$1,212,467","$436,641","$775,827"
2032,6,75,70,"$41,052","$30,180","$19,007","$20,874","$41,749","$38,988","$78,728","$26,782","$37,218",$0,"$334,578","$70,798","$64,701","$135,500","$18,428","$117,072","$217,506","$34,801","$252,307",4%,$0,"$3,688,524","$276,639","$6,519,337","$2,830,813","$22,614","$2,680,191","$2,680,191","$688,676","$1,991,515","$1,273,091","$433,793","$839,298"
2033,7,76,71,"$41,052","$31,991","$19,482","$21,396","$42,793","$39,962","$79,909","$27,452","$38,148",$0,"$342,185","$72,568","$66,319","$138,887","$18,889","$119,999","$222,187","$35,550","$257,737",4%,$0,"$3,712,856","$278,464","$6,749,039","$3,036,184","$23,179","$2,814,201","$2,814,201","$683,897","$2,130,304","$1,336,745","$430,866","$905,880"
2034,8,77,72,"$41,052","$33,911","$19,969","$21,931","$43,863","$40,961","$81,107","$28,138","$39,102",$0,"$350,034","$74,382","$67,977","$142,359","$19,361","$122,999","$227,036","$36,326","$263,361",4%,$0,"$3,733,583","$280,019","$6,985,253","$3,251,670","$23,759","$2,954,911","$2,954,911","$678,967","$2,275,944","$1,403,583","$427,857","$975,726"
2035,9,78,73,"$41,052","$35,945","$20,468","$22,480","$44,959","$41,986","$82,324","$28,841","$40,080",$0,"$358,135","$76,242","$69,676","$145,918","$19,845","$126,074","$232,061","$37,130","$269,191",4%,$0,"$3,750,240","$281,268","$7,228,015","$3,477,774","$24,353","$3,028,784","$3,102,656","$673,880","$2,428,777","$1,473,762","$424,764","$1,048,998"
